Start,License Number,Expdttm,Issdttm,Company,Inactive,Inactive Date
08/06/2004,338862,,,ALVERNIA UNIVERSITY,N,
08/06/2004,C00000148,,,ALVERNIA UNIVERSITY,N,
08/06/2004,331469,12/31/2006,03/10/2005,ALVERNIA UNIVERSITY,N,
08/06/2004,64004640,,01/01/1999,ALVERNIA UNIVERSITY,N,
06/18/1979,A0260303,12/31/2005,09/12/2005,M & R VENDING,Y,12/31/2005
11/15/2004,C00000356,02/01/2006,,BARBEY ELECTRONICS CORP,Y,01/04/2007
01/01/2012,369701,,11/17/2011,NG DELI GROCERY,N,
01/01/2012,371102,,,NG DELI GROCERY,Y,02/06/2014
01/01/2012,378325,,,NG DELI GROCERY,N,
11/18/2011,369781,02/11/2014,11/21/2011,ALEXA CONSTRUCTION,Y,02/11/2014
11/22/2011,369850,,11/22/2011,SANDRA ORANTES,N,
01/01/2011,366002,,11/22/2011,M & L TAX SERVICE,N,
11/22/2011,369854,,12/22/2011,EMNS INC,N,
12/01/2011,369855,,12/22/2011,THOMAS HAGAN G,N,
11/23/2011,369878,11/14/2013,12/22/2011,4TH & PENN ST CAFE REST,Y,11/14/2013
11/23/2011,365366,12/31/2010,,PUERTO RICAN LATIN ASSOCIATION,Y,10/09/2013
11/23/2011,370597,,,PUERTO RICAN LATIN ASSOCIATION,N,
11/23/2011,369926,,12/22/2011,PUERTO RICAN LATIN ASSOCIATION,N,
11/23/2011,369928,,12/22/2011,AMERICAN FIRE & WATER RES,N,
11/30/2011,370072,09/26/2013,12/23/2011,S & S NOTARY SERVICE,Y,09/26/2013
12/06/2011,370160,,12/23/2011,MILEDY HIDALGO,N,
01/01/2011,370277,,12/14/2011,RCP & ASSOCIATES INC,N,
07/01/2007,370368,,12/29/2011,ANGEL MILLET,N,
12/23/2011,370369,,12/29/2011,ELEVENTH STREET MANAGEMENT,N,
11/01/2011,370370,,12/29/2011,CARLOS R MENDEZ GARCIA,N,
12/18/2011,370376,,12/29/2011,THOMAS KANDLE,N,
02/01/2012,371108,,02/27/2012,BPG HOLDINGS LLC,N,
01/01/2012,370447,,02/06/2012,SEAN DEVINE,N,
,370459,01/09/2012,01/09/2012,HAROLD ADAM,N,
06/30/2012,370472,,01/10/2012,SHOP SMART,N,
06/30/2012,372426,,,SHOP SMART,N,
11/01/2011,370550,03/19/2013,02/06/2012,RUBEN TORO & PEDRO BEDOYA,Y,03/19/2013
01/17/2012,370551,03/27/2014,02/06/2012,6TH ST DELI,Y,09/10/2014
01/17/2012,371311,12/31/2012,,6TH ST DELI,Y,01/29/2014
01/17/2012,378236,,,6TH ST DELI,N,
01/17/2012,370552,,02/06/2012,SHORTY'S BARBER SHOP,N,
01/17/2012,370561,,02/06/2012,AFFORDABLE QUALITY IMP,N,
01/01/2011,370373,,12/29/2011,A & K AWNING SERVICES,N,
01/01/2011,370374,,12/29/2011,JJMN INVESTMENTS,N,
01/01/2001,370380,,12/30/2011,EDWIN VILLANUERA GUZMAN,N,
10/01/2012,370381,,12/30/2011,EDWARD J HYNES,N,
01/03/2012,370382,11/10/2014,12/30/2011,JOHNNY THE SOLUTION INC,N,
01/03/2012,372333,,,JOHNNY THE SOLUTION INC,N,
01/17/2012,370389,,01/03/2012,INCOME TAX SOLUTION SERVICES,N,
01/02/2012,370390,,01/03/2012,M & A GROCERY & RESTAURANT,Y,01/04/2013
01/02/2012,371618,,,M & A GROCERY & RESTAURANT,Y,10/25/2012
08/19/2010,370393,,01/03/2012,READING PSYCHIATRY,N,
01/04/2012,370411,,02/06/2012,IDAISA RIVERA,N,
01/04/2012,370428,01/01/2013,02/06/2012,INNOVATIVE HOME INVESTMENTS,N,
10/03/2011,370435,,01/05/2012,SHIRAZ PROPERTY MANAGEMENT,N,
10/28/2011,370437,,01/05/2012,ANGEL WANG ENTERPRISES LLC,N,
01/06/2012,370449,,02/06/2012,DORKA GOMEZ,N,
01/09/2012,370455,,01/09/2012,PASCUAL LOPES ACOSTA,N,
01/09/2012,370460,,02/06/2012,JOSE R CARDENAS,N,
09/01/2008,370462,,01/09/2012,MANUEL CEBALLOS,N,
11/01/2010,370474,,01/10/2012,LAURA SANCHEZ,N,
11/01/2009,370507,,01/11/2012,SUPERSUDS READING II,N,
01/01/2012,370568,,02/06/2012,MILAGROS SANCHEZ,N,
01/01/2011,370570,,02/06/2012,DUVIRGILEO MARTINEZ,N,
01/18/2012,370572,06/16/2014,02/06/2012,DOWN & DIRTY CUSTOMS,N,
02/01/2012,370696,,02/06/2012,JC HOME IMPROVEMENT,N,
10/01/2008,370697,,02/06/2012,BARBARA JEFFERIS,Y,11/26/2012
,370699,,02/06/2012,T.I.C FLORRING INC,N,
02/01/2012,370703,,02/06/2012,NOEL GANDIA,N,
10/16/2011,370704,,02/06/2012,ANDRYS BRITO,N,
01/01/2011,370705,,02/06/2012,DANIEL REILLY,N,
12/01/2011,370573,,02/06/2012,MARIO CONTRACTOR,N,
05/01/2008,370575,10/31/2012,01/18/2012,PEDRO L VASQUEZ,Y,08/29/2013
01/19/2012,370579,,02/06/2012,LAWNBOYZ,N,
02/01/2012,370583,,02/06/2012,DAYSI SMEYERS,N,
01/01/2012,370587,,02/06/2012,CARMEN'S BEAUTY SALON,N,
02/01/2012,370589,,02/06/2012,MATTHEW J LUTZ,N,
01/19/2012,370687,,,LOS PRIMOS,N,
01/19/2012,370590,,02/06/2012,LOS PRIMOS,N,
01/03/2012,370538,,01/19/2012,M R DELI & GROCERY,N,
01/23/2012,370429,,,SHERIFF OF BERKS COUNTY,N,
02/01/2012,370756,,02/06/2012,FELIX FRANCISCO PLACIDO,N,
02/01/2012,370758,,02/06/2012,JEFFREY SALLDE,N,
02/01/2012,370765,,02/06/2012,SIAVOSH NAAZE,N,
02/01/2012,370769,09/24/2012,02/01/2012,PARRIS MANOR,Y,09/24/2012
02/01/2012,370770,,02/06/2012,JUANA TEJADA,N,
02/01/2012,370771,,02/06/2012,RODOLFO REYNOSO,N,
02/01/2012,370772,02/20/2014,02/06/2012,DOLORES KACHEL,Y,02/20/2014
02/01/2012,370773,,02/06/2012,JUAN CARLOS OTERO,N,
02/01/2012,370774,,02/06/2012,ORTIZ STORE,Y,05/17/2012
06/01/2012,371123,12/08/2014,03/01/2012,FELIX L CRUZ,N,
02/27/2012,371130,,03/01/2012,ARMANDO CHAVEZ,N,
03/01/2012,371144,,03/01/2012,VICTOR USED APPLIANCES,N,
02/28/2012,371147,11/13/2014,03/01/2012,WENDY'S APPLIANCES,Y,11/13/2014
10/15/2011,371180,,03/05/2012,TRG CONSTRUCTION LLC,N,
03/05/2012,371181,,03/28/2012,JOSE A ORTA,N,
03/05/2012,371182,,03/05/2012,TOMAS GUZMAN,N,
03/01/2012,371185,,12/19/2012,PINERO ANTONIO,N,
01/01/2012,371190,,03/28/2012,RB LEGAL COUNSEL LLC,N,
03/07/2012,371191,,03/07/2012,TRG CONSTRUCTION LLC,N,
12/30/2007,370698,,01/30/2012,NELSON & SONS LLC,N,
01/01/2012,370808,,03/01/2012,MARIA M RIVERA SOSA,N,
02/01/2012,370817,,03/01/2012,KERON JOHNSON,N,
04/15/2007,370912,,02/13/2012,ARTHUR A HECKMAN,N,
02/13/2012,370916,11/10/2014,02/13/2012,THE INSIDE PITCH LLC,N,
11/26/2009,370920,,02/13/2012,KAREN E GULDIN,N,
02/07/2012,370944,,03/01/2012,USA RECYCLING INDUSTRIES INCOR,N,
05/01/2012,370962,,03/01/2012,FLOW PROPERTIES LLC,N,
02/01/2011,370984,,02/21/2012,CHARKES DININO,N,
09/01/2012,371170,10/21/2013,03/28/2012,RUSIAN ROMANOV,Y,10/21/2013
05/01/2012,371171,,03/01/2012,EBISAEL RIVERA,N,
02/15/2012,371173,,03/28/2012,MADAI HERNANDEZ,N,
