AccountNo,Account Description,Dollars,Budget Year,Budget Type
01-00-00-3009,Discount and Allowance,215000,2002,Actual
01-00-00-3010,Property Tax Current,-13170671,2002,Actual
01-00-00-3020,Property Tax Prior,-1100000,2002,Actual
01-00-00-3021,Penalty & Interest,-310000,2002,Actual
01-00-00-3022,Property Tax 3/4% Tax,-1000,2002,Actual
01-00-00-3024,Property Tax Legal Fees,-2000,2002,Actual
01-00-00-3110,Per Capita Tax,-130000,2002,Actual
01-00-00-3111,Per Capita Tax Prior,-25000,2002,Actual
01-00-00-3120,Business Privilege Tax,-1290000,2002,Actual
01-00-00-3121,Bus Priv Tax -  Prior Year,-90000,2002,Actual
01-00-00-3130,Real Estate Transfer Tax,-825000,2002,Actual
01-00-00-3140,Earned income Tax,-4019250,2002,Actual
01-00-00-3150,Eit Prior Year,-95000,2002,Actual
01-00-00-3162,Handicap Parking Permit,-11900,2002,Actual
01-00-00-3190,Occupation Tax,-212000,2002,Actual
01-00-00-3191,Occupation Tax -  Prior Year,-17300,2002,Actual
01-00-00-3210,Food Permits,-40000,2002,Actual
01-00-00-3220,Electrical Permits,-30000,2002,Actual
01-00-00-3221,New Construction Permits,-20000,2002,Actual
01-00-00-3222,Demolition Permits,-5000,2002,Actual
01-00-00-3223,Remodeling Permits,-350000,2002,Actual
01-00-00-3225,Trash Truck License Fees,-40000,2002,Actual
01-00-00-3226,Trades Licenses,-50000,2002,Actual
01-00-00-3227,Examination Fees,-8000,2002,Actual
01-00-00-3228,Commercial Parking Permits,-6000,2002,Actual
01-00-00-3230,Business Privilege License,-60000,2002,Actual
01-00-00-3250,Plumbing Permits,-50000,2002,Actual
01-00-00-3251,Heating Permits,-35000,2002,Actual
01-00-00-3260,Street Cuts,-175000,2002,Actual
01-00-00-3261,Pavements,-3000,2002,Actual
01-00-00-3270,Zoning Fees,-24000,2002,Actual
01-00-00-3274,Dumpster Fees,-3000,2002,Actual
01-00-00-3275,Land Development Fees,-12500,2002,Actual
01-00-00-3280,Housing/Rental Permit,-500000,2002,Actual
01-00-00-3282,Tax Administration Licenses,-18000,2002,Actual
01-00-00-3283,Franchise Fees,-700000,2002,Actual
01-00-00-3284,Other income,-2200,2002,Actual
01-00-00-3285,No Parking Signs Revenue,-5000,2002,Actual
01-00-00-3286,Bicycle Licenses Revenue,-90,2002,Actual
01-00-00-3310,Traffic Fines Motor Codes,-128000,2002,Actual
01-00-00-3323,Pa League of Cities-Sponsorshi,-100000,2002,Actual
01-00-00-3330,District Court Summary offense,-475046,2002,Actual
01-00-00-3333,Fines and Penalities P.S.P.,-110444,2002,Actual
01-00-00-3334,Fines and Penalities County,-21558,2002,Actual
01-00-00-3410,Interest on Investments,-800000,2002,Actual
01-00-00-3420,Rent Other Property Buildings,-60000,2002,Actual
01-00-00-3421,Rental on Stadium,-22000,2002,Actual
01-00-00-3429,Lease Rental/Grtr Berks Dev Fd,-410000,2002,Actual
01-00-00-3430,Lease Rental/Parking Authority,-100000,2002,Actual
01-00-00-3510,Payment in Lieu of Taxes,-160000,2002,Actual
01-00-00-3520,Malt & Liquor Tax Distribution,-53000,2002,Actual
01-00-00-3521,Public Utility Tax Distributio,-80000,2002,Actual
01-00-00-3526,Snow & Ice Control,-34000,2002,Actual
01-00-00-3541,Reading Public Library,-1140000,2002,Actual
01-00-00-3543,School District School Guard,-200000,2002,Actual
01-00-00-3550,Police Training Reimbursement,-325072,2002,Actual
01-00-00-3560,Pension-State Contributions,-1684823,2002,Actual
01-00-00-3600,"Copies of Books, Ordinanc, Etc",-5000,2002,Actual
01-00-00-3635,Fire Insurance Certification,-400,2002,Actual
01-00-00-3636,Other Department Earnings,-50000,2002,Actual
01-00-00-3660,Recreational Facilities,-50000,2002,Actual
01-00-00-3661,Swimming Pool,-32190,2002,Actual
01-00-00-3662,Pagoda & Tower,-2000,2002,Actual
01-00-00-3721,Sales Property/Equipment/Suppl,-250000,2002,Actual
01-00-00-3730,Refund Prior Years Expense,-1000,2002,Actual
01-00-00-3741,Telephone Commissions,-2000,2002,Actual
01-00-00-3743,Miscellaneous,-15000,2002,Actual
01-00-00-3750,Damages Recovered,-54272,2002,Actual
01-00-00-3751,Indirect Cost Reim.-Recycling,-94389,2002,Actual
01-00-00-3752,Indirect Cost Reimburse-Sewer,-418403,2002,Actual
01-00-00-3753,Indirect Cost Reimburse-CD,-331644,2002,Actual
01-00-00-3754,Direct Cost Reimburse-Law,-20000,2002,Actual
01-00-00-3755,Direct Cost Reimburse-Planning,-50000,2002,Actual
01-00-00-3756,Direct Cost Reimb Code Service,-260000,2002,Actual
01-00-00-3762,Pension Reimbursement,-40000,2002,Actual
01-00-00-3763,CD Cost Reimbursement,-35117,2002,Actual
01-00-00-3764,Indirect Cost EMS,-5000,2002,Actual
01-00-00-3766,CD Bond Interest,-358000,2002,Actual
01-00-00-3909,EMS Transfer,-50000,2002,Actual
01-00-00-3931,Transfer - Agency,-45000,2002,Actual
01-00-00-3950,Transfer - Water Fund,-3000000,2002,Actual
01-00-00-3951,Indirect Cost Reim. - Water,-507385,2002,Actual
01-00-00-3954,Transfer from Sewer Fund,-5750000,2002,Actual
01-00-00-3956,Fees - Redeveloment Authority,-18000,2002,Actual
01-01-01-4000,Salaries,127042,2002,Actual
