apby,apdttm,apname,permit,comments,declvltn,deptcm,commercedesc,expdttm,issby,issdttm,laststg,laststgdesc,lstactdttm,nextstgdesc,planrev,pri,pridesc,primaplid,stat,statby,statdttm,worktype,worktypedesc,contractor,address,addr1,addr2,city,state,zip
13103,May 23 2007  9:48AM,,13542,"DEMOLITION OF BUILDING C, POWER PLANT, SMOKE STACK, BUILDING F AND LAUNDRY BUILDING, BUILDING E WITH FACADE STABILIZATION  SELECT DEMOLITION BUILDING A,B,D  CMK",1715000,COM,COMMERCIAL,Jul  6 2010  2:55PM,13103,May 23 2007  9:54AM,40,Issue COO,Jan  6 2010  2:55PM,Pre-Complete,Y,,,B2229,Open,,,PARTL,PARTIAL DEMOLITION,EMPIRE WRECKING CO,215 N 12TH ST  ,1420 CLARION STREET,,READING,PA,19601-    
13103,Dec  3 2008  2:26PM,,20621,"REMOVE ALL BUILDINGS, PIPELINES(ABOVE GROUND) AND TANKS TO GRADE (STREET LEVEL) SLABS  CMK",174779,INDUST,INDUSTRIAL,Sep 19 2009  1:31PM,13103,Mar 19 2009  1:31PM,40,Issue COO,Dec 22 2010  3:38PM,Pre-Complete,Y,,,,Open,,,WHOLE,WHOLE DEMOLITION,,1853 N 3RD ST  ,,,,,
13103,Jul 22 2009  3:03PM,,23246,DEMOLITION OF BUILDING  CMK,7400,RES,RESIDENTIAL,Feb 18 2010  8:49AM,13103,Aug 18 2009  8:49AM,40,Issue COO,Aug 18 2009  8:49AM,Pre-Complete,Y,,,B2229,Open,,,WHOLE,WHOLE DEMOLITION,EMPIRE WRECKING CO,727 S 17TH ST  ,1420 CLARION STREET,,READING,PA,19601-    
13103,Aug  6 2009  3:18PM,,23470,DEMOLITION OF LARGE SHED AT REAR OF PROPERTY  CMK,900,RES,RESIDENTIAL,Feb  6 2010  3:29PM,13103,Aug  6 2009  3:29PM,40,Issue COO,Aug  6 2009  3:29PM,Pre-Complete,Y,,,AC712375,Open,,,PARTL,PARTIAL DEMOLITION,MARTE CAROLINA  ,1117 ALLEGHENY AV  ,1117 ALLEGHENY AVE,,READING,PA,19601
13103,Sep 17 2009 11:11AM,,23959,DEMOLITION OF PROPERTY  CMK,5000,RES,RESIDENTIAL,Mar 18 2010  1:08PM,13103,Sep 18 2009  1:08PM,40,Issue COO,Sep 18 2009  1:08PM,Pre-Complete,Y,,,30610,Open,,,WHOLE,WHOLE DEMOLITION,ANGEL RODRIGUEZ CONSTRUCTION,724 BINGAMAN ST  ,3124 STOUDTS FERRY BRIDGE   RD,,READING,PA,19605-    
13103,Sep 17 2009 11:16AM,,23968,DEMOLITION OF PROPERTY  CMK,5000,RES,RESIDENTIAL,Mar 18 2010  1:10PM,13103,Sep 18 2009  1:10PM,39,Pre-Issue COO,Sep 18 2009  1:10PM,Issue COO,Y,,,30610,Open,,,WHOLE,WHOLE DEMOLITION,ANGEL RODRIGUEZ CONSTRUCTION,726 BINGAMAN ST  ,3124 STOUDTS FERRY BRIDGE   RD,,READING,PA,19605-    
13103,Sep 25 2009  3:18PM,,24067,DEMOLITION OF BUILDING    60 DAYS TO CAP SPRINKLER SYSTER AFTER BUILDING IS DOWN  CMK,35000,COM,COMMERCIAL,Apr  7 2010 10:10AM,13103,Oct  7 2009 10:10AM,40,Issue COO,Oct  7 2009 10:10AM,Pre-Complete,Y,,,AC501679,Open,,,WHOLE,WHOLE DEMOLITION,BURKHOLDER PAUL H & ESHTER K,640 GREGG AV  ,398 TOPTON RD,,KUTZTOWN,PA,19530
13103,Oct 28 2009  3:42PM,,24516,DEMOLITION OF BUILDING  CMK,19000,COM,COMMERCIAL,Apr 28 2010  3:44PM,,,19,Pre-Issue Permit,Oct 28 2009  3:47PM,Issue Permit,Y,,,B2229,Open,,,WHOLE,WHOLE DEMOLITION,EMPIRE WRECKING CO,225 PENN ST  ,1420 CLARION STREET,,READING,PA,19601-    
13103,Nov 20 2009  2:56PM,,24790,DEMOLITION AND REMOVAL  CMK,8000,RES,RESIDENTIAL,Jun  9 2010  2:36PM,13103,Dec  9 2009  2:36PM,39,Pre-Issue COO,Dec  9 2009  2:36PM,Issue COO,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,530 BUTTONWOOD ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Nov 20 2009  3:01PM,,24791,DEMOLITION AND REMOVAL  CMK,2000,RES,RESIDENTIAL,Jun  7 2010  2:22PM,13103,Dec  7 2009  2:22PM,39,Pre-Issue COO,Dec  7 2009  2:22PM,Issue COO,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,532 BUTTONWOOD ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Nov 20 2009  3:05PM,,24792,DEMOLITION AND REMOVAL  CMK,2000,RES,RESIDENTIAL,Jun  7 2010  2:22PM,13103,Dec  7 2009  2:22PM,40,Issue COO,Dec  7 2009  2:22PM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,534 BUTTONWOOD ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Nov 20 2009  3:08PM,,24793,DEMOLITION AND REMOVAL  CMK,2000,RES,RESIDENTIAL,Jun  7 2010  2:22PM,13103,Dec  7 2009  2:22PM,40,Issue COO,Dec  7 2009  2:22PM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,536 BUTTONWOOD ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Nov 20 2009  3:12PM,,24794,DEMOLITION AND REMOVAL  CMK,8000,RES,RESIDENTIAL,Jun  7 2010  2:22PM,13103,Dec  7 2009  2:22PM,39,Pre-Issue COO,Dec  7 2009  2:22PM,Issue COO,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,538 BUTTONWOOD ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Nov 20 2009  3:29PM,,24795,DEMOLITION AND REMOVAL  CMK,18000,RES,RESIDENTIAL,Jun  7 2010  2:23PM,13103,Dec  7 2009  2:23PM,39,Pre-Issue COO,Dec  7 2009  2:23PM,Issue COO,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,540 BUTTONWOOD ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Nov 20 2009  3:41PM,,24796,DEMOLITION AND REMOVAL  CMK,18890,RES,RESIDENTIAL,Jun  7 2010  2:23PM,13103,Dec  7 2009  2:23PM,39,Pre-Issue COO,Dec  7 2009  2:23PM,Issue COO,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,544 BUTTONWOOD ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Dec  7 2009 11:01AM,,24925,DEMOLITION OF BUILDING AND GARAGE  CMK,10000,RES,RESIDENTIAL,Jun  8 2010  7:54AM,13103,Dec  8 2009  7:54AM,39,Pre-Issue COO,Dec  8 2009  7:54AM,Issue COO,Y,,,8878,Open,,,WHOLE,WHOLE DEMOLITION,ENVIRONMENTAL CONSULTING INC,427 PEAR ST  ,2002 RENAISSENCE BLVD,STE 110,NORRISTOWN,PA,19401-    
