ADA Accessible ,Municipality ,Ward ,Precinct ,Name of Location ,Directions ,Address Line 1 ,Address Line 2 ,Post Office ,ST ,Location 1
A ,Reading ,1st Ward ,Precinct 01 ,Kennedy Towers ,,300 S. 4th St ,,Reading ,PA ,"300 S. 4th St
Reading, PA 19602
(40.33005313300049, -75.93002637199965)"
A ,Reading ,2nd Ward ,Precinct 01 ,Liberty Fire Company ,,501 S. 5th St ,5th & Laurel Streets ,Reading ,PA ,"501 S. 5th St
Reading, PA 19602
(40.32738905700046, -75.92810436599967)"
A ,Reading ,3rd Ward ,Precinct 01 ,Rhodes Apts. ,Side Entrance ,815 Franklin St. ,,Reading ,PA ,"815 Franklin St.
Reading, PA 19602
(40.333627511000486, -75.92145915699967)"
A ,Reading ,3rd Ward ,Precinct 02 ,Southern Jr. High ,,931 Chestnut St ,10th & Chestnut Sts. ,Reading ,PA ,"931 Chestnut St
Reading, PA 19602
(40.332059512000455, -75.91929534799965)"
A ,Reading ,4th Ward ,Precinct 01 ,Franklin Towers ,,120 S. 6th St ,,Reading ,PA ,"120 S. 6th St
Reading, PA 19602
(40.3332926760005, -75.92601242199964)"
A ,Reading ,5th Ward ,Precinct 01 ,Southwest Jr. High ,,300 Chestnut St ,3rd & Chestnut Sts. ,Reading ,PA ,"300 Chestnut St
Reading, PA 19602
(40.33220502000046, -75.93176006999965)"
A ,Reading ,6th Ward ,Precinct 01 ,Neversink Fire Co. ,,15-23 N. 3rd St ,,Reading ,PA ,"15-23 N. 3rd St
Reading, PA 19601
(40.33595022500049, -75.93173063799964)"
A ,Reading ,6th Ward ,Precinct 03 ,Lauers Park School ,Main Entrance ,241 N. 2nd St ,1st Flr ,Reading ,PA ,"241 N. 2nd St
Reading, PA 19601
(40.33957975800047, -75.93355420899968)"
A ,Reading ,7th Ward ,Precinct 01 ,YMCA of Reading ,,631 Washington St ,Reed & Washington Sts ,Reading ,PA ,"631 Washington St
Reading, PA 19601
(40.336965886000485, -75.92465029199963)"
A ,Reading ,8th Ward ,Precinct 01 ,Berks Encore ,Erdman Hall ,40 N. 9th St ,,Reading ,PA ,"40 N. 9th St
Reading, PA 19601
(40.33634352600046, -75.92006363099966)"
A ,Reading ,9th Ward ,Precinct 02 ,City Hall - Penn Rm ,Use 8th St Entrance ,815 Washington St ,8th & Washington Sts. ,Reading ,PA ,"815 Washington St
Reading, PA 19601
(40.33690794800049, -75.92141665599968)"
A ,Reading ,9th Ward ,Precinct 05 ,Reading Intermediate School ,The Citadel ,215 N. 12th St ,,Reading ,PA ,"215 N. 12th St
Reading, PA 19604
(40.33883928200049, -75.91410414199964)"
A ,Reading ,10th Ward ,Precinct 01 ,Amanda E. Stoudt School ,,321 S. 10th St. ,,Reading ,PA ,"321 S. 10th St.
Reading, PA 19602
(40.330308309000486, -75.91826002399966)"
A ,Reading ,11th Ward ,Precinct 02 ,10th & Green School ,,400 N. 10th St. ,,Reading ,PA ,"400 N. 10th St.
Reading, PA 19601
(40.34149191600045, -75.91797153399966)"
A ,Reading ,11th Ward ,Precinct 03 ,13th & Green School ,GYM ,501 N. 13th St ,,Reading ,PA ,"501 N. 13th St
Reading, PA 19604
(40.343368901000474, -75.91202427299964)"
I ,Reading ,12th Ward ,Precinct 01 ,Iglesia Christiana Nueva Esperanza ,,820 N. 9th St ,,Reading ,PA ,"820 N. 9th St
Reading, PA 19604
(40.34791926100047, -75.91970653699963)"
A ,Reading ,12th Ward ,Precinct 03 ,Olivet Boys Club #4 ,,722 Mulberry St ,Mulberry St & Alley ,Reading ,PA ,"722 Mulberry St
Reading, PA 19604
(40.346401707000496, -75.91686616199968)"
A ,Reading ,12th Ward ,Precinct 05 ,Reading High School ,Geigle Complex ,801 N. 13th St ,,Reading ,PA ,"801 N. 13th St
Reading, PA 19604
(40.34753094300049, -75.91189406599966)"
A ,Reading ,13th Ward ,Precinct 01 ,Marion Fire Co. ,,9th & Marion Sts ,,Reading ,PA ,"9th &amp; Marion Sts
Reading, PA 19604
(40.35309776300045, -75.91323905499968)"
